findClus,128,128,64
RawToDigi_kernel,128,128,64
kernelLineFit3,64,64,64
kernelLineFit4,128,128,64
kernel_connect,128,128,64
getHits,64,64,64
kernel_find_ntuplets,64,64,64
fishbone,128,128,64
clusterChargeCut,128,128,64
calibDigis,192,192,64
countModules,256,256,64
kernelFastFit3,64,64,64
kernelFastFit4,64,64,64
kernelFastFit5,64,64,64
kernelLineFit5,64,64,64
kernel_fillHitDetIndices,128,128,64
kernel_mark_used,128,128,64
finalizeBulk,64,64,64
kernel_earlyDuplicateRemover,128,128,64
kernel_countMultiplicity,128,128,64
kernel_fillMultiplicity,128,128,64
kernel_checkOverflows,128,128,64
initDoublets,128,128,64
kernel_classifyTracks,128,128,64
kernel_fishboneCleaner,128,128,64
kernel_fastDuplicateRemover,128,128,64
kernel_countHitInTracks,128,128,64
kernel_fillHitInTracks,128,128,64
kernel_tripletCleaner,128,128,64
cpu_threads,12,12,2
gpu_streams,4,4,2
